_id,check_in_id,created_at,restaurant_name
65cae13b9381b65064fa35c9,21807,2023-12-02T17:40:12.729294Z,Di An Di
65cae13b9381b65064fa35ca,21808,2023-12-02T17:42:47.339062Z,Upside
65cae13b9381b65064fa35cb,21809,2023-12-02T17:44:58.364165Z,Canal Street Market
65cae13b9381b65064fa35cc,21810,2023-12-02T17:45:05.531133Z,Madame Vo
65cae13b9381b65064fa35cd,21811,2023-12-02T17:45:07.158197Z,Canal Street Market
65cae13b9381b65064fa35ce,21812,2023-12-02T17:45:59.313637Z,Neeloo
65cae13b9381b65064fa35cf,21813,2023-12-02T17:51:37.576478Z,Canal Street Market
65cae13b9381b65064fa35d0,21814,2023-12-02T17:51:42.512336Z,Bananas Country Club
65cae13b9381b65064fa35d1,21815,2023-12-02T17:52:17.547713Z,GERTIE
65cae13b9381b65064fa35d2,21816,2023-12-02T17:53:47.192254Z,Soupside
65cae13b9381b65064fa35d3,21817,2023-12-02T18:00:32.661865Z,FLYBAR
65cae13b9381b65064fa35d4,21818,2023-12-02T18:01:24.922364Z,The Daily
65cae13b9381b65064fa35d5,21819,2023-12-02T18:03:15.033144Z,Razza
65cae13b9381b65064fa35d6,21820,2023-12-02T18:03:45.100116Z,Fish Cheeks
65cae13b9381b65064fa35d7,21821,2023-12-02T18:12:00.526408Z,The Daily
65cae13b9381b65064fa35d8,21822,2023-12-02T18:13:02.222466Z,Soupside
65cae13b9381b65064fa35d9,21823,2023-12-02T18:13:44.828066Z,Soupside
65cae13b9381b65064fa35da,21824,2023-12-02T18:18:40.712761Z,Fish Cheeks
65cae13b9381b65064fa35db,21825,2023-12-02T18:25:38.10191Z,Razza
65cae13b9381b65064fa35dc,21826,2023-12-02T18:26:41.504728Z,Razza
65cae13b9381b65064fa35dd,21827,2023-12-02T18:27:02.749439Z,gertrude's
65cae13b9381b65064fa35de,21828,2023-12-02T18:29:35.622635Z,Fish Cheeks
65cae13b9381b65064fa35df,21829,2023-12-02T18:29:41.857358Z,Fish Cheeks
65cae13b9381b65064fa35e0,21830,2023-12-02T18:30:45.780654Z,Nat's on Bank
65cae13b9381b65064fa35e1,21831,2023-12-02T18:30:51.0953Z,The Daily
65cae13b9381b65064fa35e2,21832,2023-12-02T18:31:31.065255Z,Nat's on Bank
65cae13b9381b65064fa35e3,21833,2023-12-02T18:32:52.000115Z,Lighthouse
65cae13b9381b65064fa35e4,21834,2023-12-02T18:32:52.050691Z,Lighthouse
65cae13b9381b65064fa35e5,21835,2023-12-02T18:33:30.076255Z,Lighthouse
65cae13b9381b65064fa35e6,21836,2023-12-02T18:35:11.293697Z,Soupside
65cae13b9381b65064fa35e7,21837,2023-12-02T18:38:21.608273Z,Bananas Country Club
65cae13b9381b65064fa35e8,21838,2023-12-02T18:38:34.447144Z,Bananas Country Club
65cae13b9381b65064fa35e9,21839,2023-12-02T18:41:18.074889Z,Llama San
65cae13b9381b65064fa35ea,21840,2023-12-02T18:42:34.865067Z,Neeloo
65cae13b9381b65064fa35eb,21841,2023-12-02T18:42:42.765453Z,Neeloo
65cae13b9381b65064fa35ec,21842,2023-12-02T18:47:12.660852Z,Soupside
65cae13b9381b65064fa35ed,21843,2023-12-02T18:48:07.525997Z,Razza
65cae13b9381b65064fa35ee,21844,2023-12-02T18:50:43.120201Z,Razza
65cae13b9381b65064fa35ef,21845,2023-12-02T18:57:21.220348Z,Razza
65cae13b9381b65064fa35f0,21846,2023-12-02T18:58:23.278381Z,Razza
65cae13b9381b65064fa35f1,21847,2023-12-02T18:58:39.76044Z,Upside
65cae13b9381b65064fa35f2,21848,2023-12-02T19:07:14.505868Z,GERTIE
65cae13b9381b65064fa35f3,21849,2023-12-02T19:07:20.410045Z,GERTIE
65cae13b9381b65064fa35f4,21850,2023-12-02T19:07:50.954924Z,Bananas Country Club
65cae13b9381b65064fa35f5,21851,2023-12-02T19:13:05.25397Z,Canal Street Market
65cae13b9381b65064fa35f6,21852,2023-12-02T19:19:10.692758Z,Bananas Country Club
65cae13b9381b65064fa35f7,21853,2023-12-02T19:19:27.573106Z,Bananas Country Club
65cae13b9381b65064fa35f8,21854,2023-12-02T19:22:20.117838Z,Dhom
65cae13b9381b65064fa35f9,21855,2023-12-02T19:23:12.887389Z,Dhom
65cae13b9381b65064fa35fa,21856,2023-12-02T19:30:56.709746Z,gertrude's
65cae13b9381b65064fa35fb,21857,2023-12-02T19:46:19.785563Z,Soupside
65cae13b9381b65064fa35fc,21858,2023-12-02T19:47:01.597631Z,Madame Vo
65cae13b9381b65064fa35fd,21859,2023-12-02T19:47:42.567037Z,GERTIE
65cae13b9381b65064fa35fe,21860,2023-12-02T19:48:16.934809Z,GERTIE
65cae13b9381b65064fa35ff,21861,2023-12-02T19:55:27.452949Z,Soupside
65cae13b9381b65064fa3600,21862,2023-12-02T20:14:41.342601Z,Upside
65cae13b9381b65064fa3601,21863,2023-12-02T20:16:46.425812Z,Neeloo
65cae13b9381b65064fa3602,21864,2023-12-02T20:17:20.284632Z,Neeloo
65cae13b9381b65064fa3603,21865,2023-12-02T20:18:33.927027Z,Neeloo
65cae13b9381b65064fa3604,21866,2023-12-02T20:22:17.524233Z,Upside
65cae13b9381b65064fa3605,21867,2023-12-02T20:34:57.379003Z,Principe
65cae13b9381b65064fa3606,21868,2023-12-02T20:39:23.471788Z,Neeloo
65cae13b9381b65064fa3607,21869,2023-12-02T20:41:07.768395Z,Upside
65cae13b9381b65064fa3608,21870,2023-12-02T20:41:40.874526Z,Upside
65cae13b9381b65064fa3609,21871,2023-12-02T20:45:32.831249Z,Nat's on Bank
65cae13b9381b65064fa360a,21872,2023-12-02T20:48:13.027625Z,GERTIE
65cae13b9381b65064fa360b,21873,2023-12-02T20:49:08.445901Z,Canal Street Market
